CustomerID,Recommendation,category
12346.0,"{'23166': 0.9999999999999998, '23167': 0.6513389472789295, '23165': 0.6485302280819568, '23299': 0.23640375676922962, '22979': 0.23511041448869283, '22993': 0.22923300526023066, '23306': 0.20876275117586346, '22666': 0.20755412825487046, '22980': 0.2073234711903743, '23243': 0.20719385350268704, '23168': 0.20451581328360866, '23236': 0.19909945245071203, '22722': 0.19516089335384493, '23149': 0.19462473604038075, '22966': 0.18873664545023325, '84926A': 0.18556740475630135, '22961': 0.18510056777835238, '22960': 0.18122168632334518, '23298': 0.17564360343886332, '23150': 0.17407765595569785}",loose them
12347.0,"{'21656': 0.147087101353638, '23069': 0.14673479641335557, '21694': 0.14433756729740646, '22405': 0.14433756729740646, '17136A': 0.1414213562373095, '21071': 0.14048787173725408, '21993': 0.1369306393762915, '23280': 0.1363988678940947, '22223': 0.13530201829834768, '23070': 0.13497638119975428, '21711': 0.13483997249264842, '47518F': 0.13483997249264842, '72780': 0.13483997249264842, '22364': 0.13157894736842107, '84951A': 0.130066495428618, '84951B': 0.130066495428618, '84968F': 0.130066495428618, '84030E': 0.12787321262844806, '21682': 0.12725695259515557, '21314': 0.12499999999999999}",promising
12348.0,"{'23234': 0.18567639643801376, '23314': 0.18183351671314588, '22818': 0.18010993737128292, '20655': 0.17574991006549873, '23318': 0.17521916101261562, '84989A': 0.1743714581157289, '22618': 0.17407765595569785, '84559B': 0.17407765595569785, '84568': 0.17407765595569785, '22816': 0.17218920641845567, '84347': 0.17189401703741597, '47580': 0.17170914210964275, '21721': 0.1709408646894569, '21937': 0.16647568841365068, '16258A': 0.16514456476895406, '21676': 0.16514456476895406, '22439': 0.1624591083221647, '84563B': 0.1599005372667078, '85214': 0.15836151649297914, '22435': 0.15231794896123563}",promising
12349.0,"{'23371': 0.12745318548364543, '22818': 0.12735695807431854, '23408': 0.1264911064067352, '22307': 0.12060453783110546, '23426': 0.12000000000000002, '22509': 0.1160517706371319, '23524': 0.11547005383792518, '23597': 0.11547005383792518, '23370': 0.11547005383792516, '16169E': 0.11197850219117086, '21788': 0.11009637651263605, '23352': 0.10830607221477648, '21025': 0.10660035817780521, '22731': 0.10660035817780521, '22959': 0.10050378152592121, '23547': 0.10050378152592121, '21786': 0.0978231976089037, '21703': 0.09642365197998373, '16156L': 0.09534625892455924, '21698': 0.09534625892455924}",promising
12350.0,"{'22423': 0.19343750135299723, '20750': 0.19202384316064208, '22303': 0.1902701640241569, '22492': 0.19015546281970652, '22997': 0.18762218965128746, '21249': 0.18699343399089993, '22027': 0.18669279555718044, '51020A': 0.18490006540840973, '85163B': 0.18156825980064073, '85227': 0.18036829916803737, '85014A': 0.17977312387666872, '82001S': 0.17541160386140583, '22617': 0.17525079530145282, '21901': 0.17104186373205876, '22382': 0.1685935129529577, '20669': 0.1684303842133038, '15060B': 0.16563698349810535, '22095': 0.16563698349810535, '21904': 0.1653796461189446, '22139': 0.16519067019815517}",need attention
12352.0,"{'22624': 0.1416528152403618, '23575': 0.1386750490563073, '21949': 0.1359820733051053, '22468': 0.13592873654160803, '23083': 0.13497638119975428, '21291': 0.1307440900921227, '23066': 0.1283881477532739, '22744': 0.12725695259515554, '22437': 0.12561485860426555, '23042': 0.12403473458920845, '23201': 0.12352415133260912, '21928': 0.12335134242111896, '22849': 0.12328224189336073, '23207': 0.12266334536566456, '20719': 0.12174221164021723, '21424': 0.12009611535381537, '23206': 0.11636866703140784, '23209': 0.11541088393712068, '22175': 0.11538461538461539, '20728': 0.11520750919367481}",promising
12353.0,"{'84509B': 0.20851441405707477, '23158': 0.19645989725150062, '84535B': 0.19448665533052606, '84596J': 0.19274776986097064, '22131': 0.19132134046495078, '21700': 0.18856180831641267, '22064': 0.18856180831641267, '22956': 0.18828023890779402, '84637': 0.18731716231633877, '22067': 0.18633899812498245, '23159': 0.18232113763882918, '23156': 0.1793425289496568, '22665': 0.17914359097500468, '84596E': 0.1752191610126156, '22891': 0.17388261090178095, '84050': 0.17291859082862412, '22720': 0.1728639576670191, '21070': 0.17217163878014863, '84596L': 0.17217163878014863, '22993': 0.17191967605241712}",loose them
12354.0,"{'23289': 0.14630339119189104, '23207': 0.14547859349066158, '21508': 0.14478512671975205, '22507': 0.14449892851861426, '85127': 0.14433756729740643, '21671': 0.14349920066683503, '22222': 0.1425310184156894, '21668': 0.14098147537004826, '22894': 0.14037248126871926, '22797': 0.13944333775567924, '47481': 0.1386750490563073, '22426': 0.13844643510697732, '20665': 0.13773231175688955, '21672': 0.1372215512369386, '23160': 0.13608276348795434, '22624': 0.13529234384849095, '21693': 0.12909944487358055, '72799E': 0.12909944487358055, '62086A': 0.1259881576697424, '84596L': 0.12379689211803457}",need attention
12355.0,"{'22807': 0.1692100039911627, '35972': 0.16770509831248423, '47021G': 0.16770509831248423, '21272': 0.16718346377260584, '22113': 0.16668810427260355, '21441': 0.16666666666666666, '22834': 0.1663960597879558, '22295': 0.16526725762746, '22566': 0.1638243957276635, '84674': 0.16151457061744964, '84707B': 0.16151457061744964, '22049': 0.15811388300841897, '72799C': 0.15811388300841897, '84813': 0.15811388300841897, '22947': 0.15309310892394862, '84581': 0.15158476564770806, '84032A': 0.1494035761667992, '15056BL': 0.14907119849998599, '85036A': 0.14680505487867584, '22965': 0.1395390764128595}",need attention
12356.0,"{'20702': 0.15171652122725207, '21197': 0.1516196087157807, '84510C': 0.1515228816828316, '84951A': 0.1515228816828316, '84951B': 0.1515228816828316, '85180A': 0.14824986333222023, '21391': 0.14777011582226215, '21340': 0.14625448482542613, '23139': 0.14285714285714282, '62086A': 0.14285714285714282, '22358': 0.14208952003890135, '35651': 0.14173667737846019, '21293': 0.140028008402801, '82613B': 0.13801311186847082, '21132': 0.13750477455423168, '21628': 0.13750477455423168, '85199L': 0.13750477455423168, '22335': 0.13584712216226488, '22595': 0.13518217875625171, '21500': 0.13474888832625692}",promising
12357.0,"{'21071': 0.1159217406011873, '23524': 0.11547005383792518, '23597': 0.11547005383792518, '23370': 0.11547005383792516, '23416': 0.11470786693528087, '21288': 0.1143323900950059, '23334': 0.1143323900950059, '22500': 0.11390142225037868, '47585A': 0.11298653657320641, '85129D': 0.11298653657320641, '21311': 0.11128297681493143, '23514': 0.11094003924504584, '22672': 0.10976425998969036, '21001': 0.10846522890932808, '21420': 0.10846522890932808, '85136A': 0.10814761408717502, '23075': 0.10606601717798213, '16216': 0.10526315789473682, '22736': 0.10495671428119792, '70006': 0.10495671428119792}",loyal customer
12358.0,"{'21576': 0.16685595311797863, '21054': 0.1666666666666667, '21733': 0.1659882023920174, '22113': 0.1648351648351648, '22690': 0.1641330410746532, '22699': 0.16405152212918328, '20617': 0.1634301126151534, '22692': 0.16250281149164794, '22316': 0.16222142113076252, '22946': 0.16222142113076252, '21289': 0.15152288168283157, '20618': 0.14754222271266348, '82613C': 0.1458029608799511, '47570B': 0.14509525002200233, '51014C': 0.14488358652488853, '20686': 0.14285714285714285, '84406B': 0.14144964899666776, '21792': 0.14091341769030624, '21175': 0.13662854039437794, '22913': 0.130066495428618}",need attention
12359.0,"{'22822': 0.1315903389919538, '84819': 0.1305582419667734, '23042': 0.12909944487358058, '22936': 0.12856486930664499, '47341B': 0.125, '84926E': 0.125, '23043': 0.11785113019775795, '23113': 0.11785113019775795, '37479P': 0.11785113019775795, '84665': 0.11785113019775795, '21084': 0.11766968108291043, '84692': 0.11572751247156894, '21925': 0.11547005383792518, '85159A': 0.11547005383792518, '22937': 0.11501092655705904, '22876': 0.11322770341445959, '22709': 0.11322770341445959, '21071': 0.11020775375559677, '21090': 0.10567049305145204}",loyal customer
12360.0,"{'37501': 0.16062314155080887, '23079': 0.16057912918074005, '22418': 0.16044162797803643, '22661': 0.1602651911890081, '35809A': 0.15877683720748892, '85172': 0.1567723603339241, '21815': 0.15617376188860607, '21284': 0.15554275420956382, '21352': 0.15554275420956382, '22936': 0.1531679162134967, '23194': 0.15254255396193803, '22561': 0.15070002630280818, '84509B': 0.14980117725462766, '22565': 0.14907119849998599, '21635': 0.14815943949743846, '84375': 0.14807184892549227, '22587': 0.1426148065624585, '22271': 0.14253932901995967, '22975': 0.13862065601673437, '22945': 0.13803940759355818}",promising
12361.0,"{'21561': 0.23287378914855428, 'POST': 0.23150287687876106, '21086': 0.22753833383984712, '21094': 0.223276750636136, '21981': 0.22173634181704527, '22417': 0.21669676553000097, '22331': 0.20671410355083852, '21578': 0.20293959504635015, '22616': 0.20176289177601128, '22652': 0.20001168838759698, '21212': 0.19471224526320344, '22077': 0.19442569287060807, '22423': 0.19343750135299723, '21976': 0.19217792145661128, '20750': 0.19202384316064208, '22303': 0.1902701640241569, '21249': 0.18699343399089993, '22027': 0.18669279555718044, '22745': 0.18588597878141025, '23190': 0.18554306645142182}",need attention
12362.0,"{'35967': 0.12830005981991682, '85136C': 0.12830005981991682, '20665': 0.126673647984535, '21781': 0.126673647984535, '35924': 0.12565617248750865, '23269': 0.125, '23509': 0.125, '23519': 0.125, '22766': 0.12429576904403138, '85230A': 0.12262786789699316, '37446': 0.12166606584807191, '85039A': 0.12166606584807191, '23268': 0.12126781251816648, '21231': 0.12124580184323827, '23188': 0.11952286093343936, '22703': 0.11547005383792514, '23511': 0.11547005383792514, '79067': 0.11547005383792514, '20772': 0.10846522890932808, '85124B': 0.10846522890932808}",loyal customer
12363.0,"{'84251G': 0.1781741612749496, '84989A': 0.1743714581157289, '47580': 0.17170914210964275, '84692': 0.1705150626717128, '22949': 0.1683587574253685, '20727': 0.16807023068095917, '21973': 0.16752357034413895, '21937': 0.16647568841365068, '84519B': 0.16471089784764562, '22221': 0.16305546992475287, '22423': 0.1626086079910788, '23186': 0.158113883008419, '21447': 0.15306919373065675, '22862': 0.15097027121927944, '21109': 0.15075567228888181, '84249A': 0.149071198499986, '21577': 0.1473139127471974, '72586': 0.1421338109037403, '47599B': 0.1375228328345058, '23016': 0.13608276348795437}",need attention
